"REMOTE","STATION","date","weeknumber","Total_2020","Total_2019"
"R001","WHITEHALL STREET              ",2020-01-04,"01",118931,125926
"R003","CYPRESS HILLS                 ",2020-01-04,"01",6336,5497
"R004","75TH STREET & ELDERTS LANE    ",2020-01-04,"01",15620,14407
"R005","85TH STREET & FOREST PKWAY    ",2020-01-04,"01",17497,16088
"R006","WOODHAVEN BOULEVARD           ",2020-01-04,"01",20392,18187
"R007","104TH STREET                  ",2020-01-04,"01",11232,7764
"R008","111TH STREET                  ",2020-01-04,"01",9215,9968
"R009","121ST STREET                  ",2020-01-04,"01",9376,7728
"R010","42ND STREET & 8TH AVENUE      ",2020-01-04,"01",186917,182607
"R011","42ND STREET & 8TH AVENUE      ",2020-01-04,"01",292971,289197
"R012","34TH STREET & 8TH AVENUE      ",2020-01-04,"01",260268,232013
"R013","34TH STREET & 8TH AVENUE      ",2020-01-04,"01",77279,71913
"R014","FULTON STREET                 ",2020-01-04,"01",235378,245427
"R015","FIFTH AVENUE                  ",2020-01-04,"01",117393,44963
"R016","LEXINGTON AVENUE              ",2020-01-04,"01",22963,30635
"R017","LEXINGTON AVENUE              ",2020-01-04,"01",116334,62007
"R018","ROOSEVELT AVE/JACKSON HTS     ",2020-01-04,"01",257761,247117
"R019","179TH STREET & HILLSIDE AVE   ",2020-01-04,"01",65601,64370
"R020","47-50 STREETS/ROCKEFELLER     ",2020-01-04,"01",398718,395612
"R021","42ND STREET & 6TH AVENUE      ",2020-01-04,"01",208709,189892
"R022","34TH STREET & 6TH AVENUE      ",2020-01-04,"01",416496,406787
"R023","34TH STREET & 6TH AVENUE      ",2020-01-04,"01",230640,225941
"R024","SUTPHIN BOULEVARD             ",2020-01-04,"01",109053,103363
"R025","JAMAICA CENTER-PARSONS BLVD   ",2020-01-04,"01",105910,103032
"R027","WALL STREET                   ",2020-01-04,"01",69677,61640
"R028","FULTON & WILLIAM STREETS      ",2020-01-04,"01",93485,91673
"R029","PARK PLACE                    ",2020-01-04,"01",170852,158274
"R030","CHAMBERS STREET               ",2020-01-04,"01",51484,50445
"R031","34TH STREET & 7TH AVENUE      ",2020-01-04,"01",147579,168444
"R032","42ND STREET/TIMES SQUARE      ",2020-01-04,"01",146756,142925
"R033","42ND STREET/TIMES SQUARE      ",2020-01-04,"01",333145,357874
"R034","125TH STREET & BROADWAY       ",2020-01-04,"01",32016,31691
"R035","168TH STREET & BROADWAY       ",2020-01-04,"01",80959,91640
"R036","DYCKMAN STREET                ",2020-01-04,"01",32857,34054
"R037","207TH STREET                  ",2020-01-04,"01",25195,26977
"R038","215TH STREET                  ",2020-01-04,"01",6442,6196
"R039","225TH STREET                  ",2020-01-04,"01",24685,25915
"R040","231ST STREET                  ",2020-01-04,"01",40265,46104
"R041","BOWLING GREEN & BATTERY PL    ",2020-01-04,"01",69333,64439
